bar_index,breakout_pressure,close,drawdown_from_high,long_ma,moving_average_slope,position_scale,range_score,realized_vol,reason,regime,run_id,selected_strategy,trend_strength,volatility_percentile,volume_zscore
69,,,,,,1.0,,,range_score=0.1304,range,BTC_1d_regime_router,grid,,,
70,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
71,,,,,,1.0,,,slope=0.0008 trend=0.0775,trend_up,BTC_1d_regime_router,trend_following,,,
79,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
81,,,,,,1.0,,,slope=0.0014 trend=0.1451,trend_up,BTC_1d_regime_router,trend_following,,,
117,,,,,,1.0,,,range_score=0.1742,range,BTC_1d_regime_router,grid,,,
121,,,,,,1.0,,,slope=0.0043 trend=0.0284,trend_up,BTC_1d_regime_router,trend_following,,,
126,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
138,,,,,,1.0,,,slope=0.0016 trend=0.0316,trend_up,BTC_1d_regime_router,trend_following,,,
139,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
140,,,,,,1.0,,,slope=0.0005 trend=0.0324,trend_up,BTC_1d_regime_router,trend_following,,,
143,,,,,,0.25,,,reduce_exposure_high_vol,high_vol,BTC_1d_regime_router,cash,,,
147,,,,,,1.0,,,slope=0.0025 trend=0.1298,trend_up,BTC_1d_regime_router,trend_following,,,
186,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
188,,,,,,1.0,,,range_score=0.1781,range,BTC_1d_regime_router,grid,,,
189,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
264,,,,,,0.0,,,panic_cash,panic,BTC_1d_regime_router,cash,,,
267,,,,,,0.25,,,reduce_exposure_high_vol,high_vol,BTC_1d_regime_router,cash,,,
270,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
271,,,,,,1.0,,,range_score=0.1918,range,BTC_1d_regime_router,grid,,,
274,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
280,,,,,,0.0,,,panic_cash,panic,BTC_1d_regime_router,cash,,,
284,,,,,,0.0,,,unknown_hold,unknown,BTC_1d_regime_router,cash,,,
288,,,,,,0.25,,,reduce_exposure_high_vol,high_vol,BTC_1d_regime_router,cash,,,
292,,,,,,0.0,,,panic_cash,panic,BTC_1d_regime_router,cash,,,
